time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
2023-09-28T12:36:18.340Z	33.2668333	-116.427	5	0.98	ml	34	41	0.008356	0.17	ci	ci40573792	2023-09-28T18:28:47.332Z	5 km WNW of Borrego Springs, CA	earthquake	0.19	0.47	0.12	23	reviewed	ci	ci
2023-09-28T12:29:05.690Z	38.8375015	-122.8466644	-0.76	0.96	md	7	104	0.017	0.23	nc	nc73943011	2023-09-28T12:30:41.482Z	10 km NW of The Geysers, CA	earthquake	0.71	8.13	0.25	8	automatic	nc	nc
2023-09-28T12:05:00.343Z	18.7596	-69.756	103.215	4.2	mb	33	119	0.332	0.65	us	us6000lbd0	2023-09-28T16:44:46.228Z	6 km SSE of Monte Plata, Dominican Republic	earthquake	5.47	5.365	0.176	9	reviewed	us	us
2023-09-28T12:03:17.445Z	61.5627	-151.3525	77.2	2.2	ml				0.43	ak	ak023cgdsxl3	2023-09-28T12:04:56.435Z	44 km W of Susitna, Alaska	earthquake		0.7			automatic	ak	ak
2023-09-28T11:57:03.693Z	28.849	-98.137	2.1276	2.9	ml(texnet)	12	63	0.1	0.1	tx	tx2023tafm	2023-09-28T13:16:01.040Z	18 km SW of Falls City, Texas	earthquake	0.681592868	1.897948393	0.2	13	reviewed	tx	tx
2023-09-28T11:53:01.010Z	32.4348333	-116.3413333	17.61	1.41	ml	24	105	0.2402	0.19	ci	ci40573784	2023-09-28T18:23:59.310Z	22 km SSE of Campo, CA	earthquake	0.36	0.93	0.14	15	reviewed	ci	ci
2023-09-28T11:34:18.740Z	37.3886681	-121.6011658	4.16	2.01	md	31	42	0.05738	0.09	nc	nc73942996	2023-09-28T11:37:35.438Z	20 km E of Alum Rock, CA	earthquake	0.21	0.62	0.1	28	automatic	nc	nc
2023-09-28T11:31:25.332Z	62.7298	-150.9641	84.4	0.8	ml				0.43	ak	ak023cgddimm	2023-09-28T11:33:45.019Z	27 km NNW of Petersville, Alaska	earthquake		0.9			automatic	ak	ak
2023-09-28T11:26:13.010Z	18.7913	-64.3293	35	3.6	md	5	337	0.7655	0.33	pr	pr2023271001	2023-09-28T13:45:34.421Z	Virgin Islands	earthquake	6.74	13.26	0.13	3	reviewed	pr	pr
2023-09-28T11:25:45.300Z	17.9375	-66.956	11.83	2.43	md	4	229	0.08204	0.12	pr	pr71426353	2023-09-28T11:51:50.320Z	6 km SW of GuÃ¡nica, Puerto Rico	earthquake	1.32	1.44	0.13542461	2	reviewed	pr	pr
